Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Amout (USD)
409,34.0,male,Sneakers,Footwear,66,Alabama,L,White,Spring,3.4,Yes,Express,Yes,Yes,36.0,Cash,Fortnightly,66
3323,52.0,female,Sweater,Clothing,92,Indiana,XL,Orange,Winter,4.6,No,Next Day Air,No,No,43.0,PayPal,Weekly,92
683,23.0,male,Jacket,Outerwear,29,Missouri,M,Brown,Summer,4.0,Yes,Standard,Yes,Yes,49.0,Credit Card,Bi-Weekly,29
3159,30.0,female,Jewelry,Accessories,77,Mississippi,M,Gray,Winter,4.9,No,2-Day Shipping,No,No,44.0,Credit Card,Monthly,77
2357,57.0,male,Backpack,Accessories,58,Montana,M,Gray,Summer,3.0,No,Free Shipping,No,No,27.0,Debit Card,Quarterly,58
1733,45.0,female,Belt,Accessories,50,Rhode Island,S,Charcoal,Summer,2.6,No,Free Shipping,No,No,36.0,Cash,Every 3 Months,50
3396,44.0,female,Dress,Clothing,43,Colorado,M,Silver,Winter,3.1,No,Free Shipping,No,No,15.0,Debit Card,Every 3 Months,43
3083,56.0,female,T-shirt,Clothing,99,Utah,M,Maroon,Spring,4.0,No,Next Day Air,No,No,20.0,Bank Transfer,Annually,99
403,31.0,male,Backpack,Accessories,78,California,L,Cyan,Fall,3.0,Yes,Express,Yes,Yes,26.0,PayPal,Monthly,78
1564,68.0,male,Pants,Clothing,44,Kansas,M,Teal,Fall,4.3,No,Next Day Air,Yes,Yes,8.0,Cash,Weekly,44
2866,28.0,female,Skirt,Clothing,97,California,M,Silver,Fall,3.7,No,Free Shipping,No,No,27.0,Cash,Fortnightly,97
2760,68.0,female,Shoes,Footwear,59,Washington,M,Turquoise,Summer,3.9,No,Free Shipping,No,No,42.0,Cash,Every 3 Months,59
3128,55.0,male,Gloves,Accessories,94,Louisiana,M,Beige,Winter,3.4,No,Free Shipping,No,No,43.0,Credit Card,Every 3 Months,94
3861,57.0,female,Sunglasses,Accessories,64,Pennsylvania,M,Olive,Summer,4.4,No,Next Day Air,No,No,44.0,Cash,Annually,64
1425,44.0,male,Jacket,Outerwear,23,Connecticut,S,Indigo,Fall,3.5,No,Standard,Yes,Yes,34.0,Bank Transfer,Every 3 Months,23
411,29.0,male,Sweater,Clothing,26,Virginia,L,Lavender,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,1.0,Credit Card,Quarterly,26
